true_label,pred_label,churn_probability,error_type,tenure_group,Contract
0,0,0.03570686305865558,TN,25-48,One year
0,1,0.5417848083932284,FP,0-12,Month-to-month
1,1,0.5444898720777882,TP,0-12,Month-to-month
0,1,0.5621697599725991,FP,25-48,Month-to-month
0,0,0.2839115308563328,TN,25-48,Month-to-month
0,0,0.32428864610563546,TN,49-72,Month-to-month
1,0,0.15188554749167663,FN,25-48,One year
0,0,0.0921620816559855,TN,0-12,One year
0,0,0.12319056717367508,TN,25-48,One year
0,0,0.25779260951276367,TN,13-24,Month-to-month
1,0,0.11704046554902031,FN,49-72,Two year
0,0,0.04115117761385934,TN,13-24,One year
0,0,0.11284700990324265,TN,49-72,One year
0,0,0.41642534381239465,TN,0-12,Month-to-month
0,0,0.023945073407518034,TN,13-24,Two year
0,1,0.6615589683314307,FP,0-12,Month-to-month
1,0,0.2592007605752229,FN,0-12,Month-to-month
0,0,0.3126486533849788,TN,0-12,Month-to-month
1,0,0.36347429897684014,FN,0-12,Month-to-month
1,1,0.6329246471250253,TP,0-12,Month-to-month
0,0,0.03500230400162872,TN,49-72,One year
1,1,0.5806473461320315,TP,13-24,Month-to-month
0,0,0.034461045289221115,TN,25-48,One year
0,0,0.051167190499802125,TN,49-72,Two year
0,1,0.7017089336683234,FP,25-48,Month-to-month
0,0,0.0400818321811599,TN,49-72,One year
0,0,0.17245237318405637,TN,13-24,Month-to-month
0,0,0.04727463668196978,TN,25-48,Month-to-month
0,0,0.02708271168756273,TN,13-24,Two year
0,0,0.06105320155669254,TN,49-72,Two year
0,0,0.017030179146096988,TN,25-48,Two year
1,1,0.5723125336480244,TP,0-12,Month-to-month
0,0,0.026116269042075462,TN,49-72,Two year
0,0,0.38220210361041396,TN,0-12,Month-to-month
0,0,0.22875281378006396,TN,49-72,Month-to-month
0,0,0.1601654449835739,TN,0-12,One year
0,0,0.01754632060365613,TN,49-72,Two year
0,0,0.22205406502820846,TN,13-24,Month-to-month
1,0,0.034297715931390305,FN,0-12,One year
0,0,0.39443834837336683,TN,13-24,Month-to-month
1,1,0.6895074388272675,TP,25-48,Month-to-month
0,0,0.04947918447411238,TN,49-72,One year
1,0,0.39902111825628955,FN,0-12,Month-to-month
1,1,0.5375503346312074,TP,13-24,Month-to-month
1,1,0.5859830721697072,TP,0-12,Month-to-month
1,0,0.44340751165789016,FN,25-48,Month-to-month
0,0,0.06391405037492723,TN,25-48,One year
0,0,0.18117870599273836,TN,0-12,Month-to-month
0,0,0.38812889078806595,TN,0-12,Month-to-month
1,1,0.7331145615851689,TP,0-12,Month-to-month
1,0,0.0861759502087104,FN,0-12,One year
1,0,0.3694854808093254,FN,13-24,Month-to-month
0,0,0.07929706592832661,TN,25-48,One year
0,0,0.10697572413596577,TN,25-48,One year
0,0,0.42077062814631055,TN,13-24,Month-to-month
1,1,0.5072667269058605,TP,25-48,Month-to-month
0,0,0.019961387235210886,TN,49-72,One year
0,0,0.3389979085503353,TN,0-12,Month-to-month
0,1,0.5049760647577597,FP,0-12,Month-to-month
0,1,0.573770309093823,FP,0-12,Month-to-month
0,0,0.01754632060365613,TN,49-72,Two year
0,0,0.016736779121857715,TN,49-72,Two year
0,0,0.02209745804372679,TN,13-24,Two year
0,0,0.2631620291306234,TN,49-72,One year
0,0,0.07252511847270425,TN,0-12,One year
0,0,0.1704637007087895,TN,49-72,Two year
0,0,0.13037996074894065,TN,49-72,Month-to-month
1,1,0.7658114063719536,TP,0-12,Month-to-month
0,0,0.04275278513375337,TN,49-72,One year
0,0,0.04524640667415349,TN,49-72,Two year
0,0,0.12063443921997492,TN,25-48,Month-to-month
0,0,0.19782552327936528,TN,0-12,Month-to-month
0,0,0.16015057260585383,TN,49-72,One year
1,1,0.5243486066541008,TP,0-12,Month-to-month
0,0,0.10977845820433653,TN,25-48,One year
0,0,0.2514195456955096,TN,25-48,One year
1,0,0.166372520182098,FN,0-12,Month-to-month
0,0,0.38823610229926686,TN,25-48,One year
0,0,0.02131244155211646,TN,49-72,Two year
0,0,0.04771571811866985,TN,49-72,One year
0,0,0.4140035542816136,TN,0-12,Month-to-month
0,1,0.5639876789511474,FP,0-12,Month-to-month
0,1,0.6396107560998299,FP,25-48,Month-to-month
0,0,0.10834122591484646,TN,25-48,Month-to-month
0,0,0.14607174954048097,TN,49-72,One year
0,0,0.15444172438439943,TN,0-12,Month-to-month
0,1,0.8160815336617457,FP,0-12,Month-to-month
0,0,0.00992204900692214,TN,49-72,Two year
1,0,0.28235255485187755,FN,25-48,Month-to-month
0,0,0.015377125089605856,TN,49-72,Two year
0,0,0.02333472959389936,TN,49-72,Two year
1,0,0.2905682385504539,FN,0-12,One year
0,0,0.01949610110170081,TN,25-48,Two year
1,0,0.19480657150442787,FN,49-72,One year
0,0,0.29305391650711243,TN,49-72,One year
0,0,0.0237352645517545,TN,49-72,Two year
0,0,0.015262624533637666,TN,49-72,Two year
0,0,0.09566783269986948,TN,25-48,One year
0,0,0.0676009683866963,TN,25-48,One year
0,0,0.3383155428825722,TN,0-12,Month-to-month
0,0,0.07694906568898043,TN,13-24,Month-to-month
0,0,0.03039597107596698,TN,49-72,Two year
1,0,0.15254933423973877,FN,0-12,Month-to-month
0,0,0.1607202686235518,TN,25-48,Month-to-month
0,0,0.07903199485778195,TN,25-48,One year
0,0,0.13677213219405143,TN,49-72,Two year
0,0,0.1452803484835423,TN,49-72,One year
0,0,0.010301686794019955,TN,49-72,Two year
0,0,0.22712334744209506,TN,49-72,Month-to-month
0,0,0.30813211220988895,TN,0-12,Month-to-month
1,0,0.4066411187109902,FN,25-48,Month-to-month
1,0,0.4060014252524212,FN,13-24,Month-to-month
0,1,0.6069324970039396,FP,0-12,Month-to-month
0,1,0.5041832392545492,FP,0-12,Month-to-month
0,0,0.012290846043205567,TN,49-72,Two year
1,0,0.2799105152957652,FN,0-12,Month-to-month
0,1,0.6396255325001989,FP,0-12,Month-to-month
0,0,0.02538344740880246,TN,49-72,Two year
0,0,0.03113242818825217,TN,49-72,Two year
0,0,0.024247234573941567,TN,13-24,One year
1,1,0.702793944746381,TP,0-12,Month-to-month
0,0,0.21590738403430215,TN,49-72,Month-to-month
0,0,0.43573582546953366,TN,13-24,Month-to-month
0,1,0.5886515163498502,FP,0-12,Month-to-month
0,0,0.1542155851750728,TN,49-72,One year
0,1,0.5710947969792524,FP,0-12,Month-to-month
0,0,0.017502600247486053,TN,49-72,Two year
0,1,0.6353998895289529,FP,0-12,Month-to-month
0,0,0.17044075911187845,TN,49-72,One year
1,0,0.2949869881113531,FN,13-24,Month-to-month
0,0,0.03676105457437496,TN,25-48,One year
0,1,0.558856611418701,FP,25-48,Month-to-month
0,0,0.018811653558263527,TN,49-72,Two year
0,0,0.3065811970356268,TN,25-48,Month-to-month
0,1,0.5079943731445503,FP,0-12,Month-to-month
0,0,0.010301686794019955,TN,49-72,Two year
0,0,0.07100115725949317,TN,25-48,One year
0,0,0.030785270740135363,TN,25-48,Two year
0,0,0.21574897280360134,TN,49-72,Month-to-month
0,0,0.017006379140921506,TN,49-72,Two year
1,0,0.40888273695716865,FN,0-12,Month-to-month
0,0,0.01751942620502813,TN,49-72,Two year
1,1,0.839984160060797,TP,0-12,Month-to-month
1,0,0.09973405780027472,FN,49-72,One year
0,0,0.08443982829679328,TN,49-72,One year
0,0,0.051293389271925435,TN,49-72,Two year
1,1,0.5410493446493089,TP,0-12,One year
0,0,0.11353514125768853,TN,49-72,One year
0,0,0.05091338883835937,TN,49-72,One year
0,0,0.18589909362278495,TN,25-48,Month-to-month
0,0,0.48515908551022646,TN,0-12,Month-to-month
0,0,0.14064991557933293,TN,49-72,One year
0,0,0.06752224061831016,TN,25-48,Month-to-month
0,0,0.1239704344367745,TN,25-48,One year
0,0,0.17749642074453606,TN,49-72,One year
1,1,0.5147694650544494,TP,13-24,Month-to-month
1,0,0.10432656252739951,FN,25-48,Month-to-month
1,0,0.4160296651222651,FN,25-48,Month-to-month
0,0,0.13466602217726328,TN,49-72,One year
0,0,0.34221368622485226,TN,0-12,Month-to-month
0,0,0.26130078733975687,TN,0-12,Month-to-month
0,0,0.01789401308200549,TN,49-72,Two year
0,0,0.4705863029278354,TN,13-24,Month-to-month
0,0,0.2785283722196752,TN,0-12,One year
0,0,0.2715693476436878,TN,25-48,One year
1,1,0.7174232136672662,TP,0-12,Month-to-month
1,0,0.06324436460813873,FN,25-48,Two year
0,0,0.19737446859159954,TN,49-72,Month-to-month
0,0,0.23515795028492117,TN,0-12,Month-to-month
0,0,0.018710843153955298,TN,49-72,Two year
1,1,0.5677635968627374,TP,0-12,Month-to-month
1,0,0.2367965280102772,FN,13-24,Month-to-month
1,0,0.3435436334826286,FN,25-48,Month-to-month
0,0,0.1207970995830702,TN,49-72,One year
1,1,0.8606932646006192,TP,0-12,Month-to-month
0,0,0.10018115379083549,TN,25-48,Month-to-month
1,1,0.5733424446713141,TP,0-12,Month-to-month
0,0,0.11153842809126234,TN,0-12,Month-to-month
0,0,0.051443687645188654,TN,49-72,One year
0,0,0.08551803872780794,TN,49-72,One year
